SPEEDS: 0, 0
 state    positions        speeds
1 : [0, 0, None] [1, 11, None]
2 : [0, 0, None] [2, 12, None]
3 : [0, 0, None] [3, 13, None]
4 : [0, 0, None] [4, 13, None]
5 : [0, 0, None] [5, 14, None]
6 : [0, 0, None] [6, 14, None]
7 : [0, 0, None] [7, 14, None]
8 : [0, 3, None] [8, 14, None]
9 : [0, 3, None] [9, 14, None]
10 : [0, 3, None] [10, 14, None]
11 : [0, 3, None] [11, 14, None]
12 : [0, 3, None] [12, 14, None]
13 : [0, 3, None] [13, 14, None]
15 : [1, 3, None] [14, 14, None]
16 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
24 : [3, 5, None] [14, 5, None]
29 : [5, 5, None] [11, 5, None]
SPEEDS: 0, 11
 state    positions        speeds
0 : [0, 0, None] [0, 11, None]
1 : [0, 0, None] [1, 12, None]
2 : [0, 0, None] [2, 13, None]
3 : [0, 0, None] [3, 14, None]
4 : [0, 0, None] [4, 14, None]
5 : [0, 0, None] [5, 14, None]
6 : [0, 0, None] [6, 14, None]
7 : [0, 0, None] [7, 14, None]
8 : [0, 3, None] [8, 14, None]
9 : [0, 3, None] [9, 14, None]
10 : [0, 3, None] [10, 14, None]
11 : [0, 3, None] [11, 14, None]
12 : [0, 3, None] [12, 14, None]
13 : [0, 3, None] [13, 14, None]
15 : [1, 4, None] [14, 14, None]
21 : [1, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
29 : [5, 5, None] [11, 5, None]
SPEEDS: 0, 12
 state    positions        speeds
0 : [0, 0, None] [0, 12, None]
1 : [0, 0, None] [1, 13, None]
2 : [0, 0, None] [2, 14, None]
3 : [0, 0, None] [3, 14, None]
4 : [0, 0, None] [4, 14, None]
5 : [0, 0, None] [5, 14, None]
6 : [0, 0, None] [6, 14, None]
7 : [0, 0, None] [7, 14, None]
8 : [0, 3, None] [8, 14, None]
9 : [0, 3, None] [9, 14, None]
10 : [0, 3, None] [10, 14, None]
11 : [0, 3, None] [11, 14, None]
12 : [0, 3, None] [12, 14, None]
13 : [0, 3, None] [13, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
29 : [5, 5, None] [11, 5, None]
SPEEDS: 0, 13
 state    positions        speeds
0 : [0, 0, None] [0, 13, None]
1 : [0, 0, None] [1, 13, None]
2 : [0, 0, None] [2, 13, None]
3 : [0, 0, None] [3, 14, None]
4 : [0, 0, None] [4, 14, None]
5 : [0, 0, None] [5, 14, None]
6 : [0, 0, None] [6, 14, None]
7 : [0, 0, None] [7, 14, None]
8 : [0, 3, None] [8, 14, None]
9 : [0, 3, None] [9, 14, None]
10 : [0, 3, None] [10, 14, None]
11 : [0, 3, None] [11, 14, None]
12 : [0, 3, None] [12, 14, None]
13 : [0, 3, None] [13, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
29 : [5, 5, None] [11, 5, None]
SPEEDS: 0, 14
 state    positions        speeds
0 : [0, 0, None] [0, 14, None]
1 : [0, 0, None] [1, 14, None]
2 : [0, 0, None] [2, 14, None]
3 : [0, 0, None] [3, 14, None]
4 : [0, 0, None] [4, 14, None]
5 : [0, 0, None] [5, 14, None]
6 : [0, 0, None] [6, 14, None]
7 : [0, 0, None] [7, 14, None]
8 : [0, 3, None] [8, 14, None]
9 : [0, 3, None] [9, 14, None]
10 : [0, 3, None] [10, 14, None]
11 : [0, 3, None] [11, 14, None]
12 : [0, 3, None] [12, 14, None]
13 : [0, 3, None] [13, 14, None]
15 : [1, 4, None] [14, 14, None]
20 : [1, 4, None] [14, 11, None]
21 : [1, 4, None] [14, 8, None]
22 : [3, 4, None] [14, 8, None]
23 : [3, 5, None] [14, 5, None]
29 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 0
 state    positions        speeds
0 : [0, 0, None] [1, 0, None]
1 : [0, 0, None] [2, 1, None]
2 : [0, 0, None] [3, 2, None]
3 : [0, 0, None] [4, 3, None]
4 : [0, 0, None] [5, 4, None]
5 : [0, 0, None] [6, 5, None]
6 : [0, 0, None] [6, 6, None]
7 : [0, 0, None] [7, 7, None]
8 : [0, 0, None] [8, 8, None]
9 : [0, 0, None] [9, 9, None]
10 : [0, 0, None] [10, 10, None]
11 : [0, 0, None] [11, 11, None]
12 : [0, 0, None] [12, 12, None]
13 : [0, 0, None] [13, 13, None]
14 : [0, 0, None] [14, 13, None]
15 : [1, 3, None] [14, 14, None]
22 : [3, 4, None] [14, 14, None]
29 : [5, 5, None] [11, 11, None]
SPEEDS: 1, 1
 state    positions        speeds
0 : [0, 0, None] [1, 1, None]
1 : [0, 0, None] [2, 2, None]
2 : [0, 0, None] [3, 3, None]
3 : [0, 0, None] [4, 4, None]
4 : [0, 0, None] [5, 5, None]
5 : [0, 0, None] [6, 6, None]
6 : [0, 0, None] [7, 7, None]
7 : [0, 0, None] [8, 8, None]
8 : [0, 0, None] [9, 9, None]
9 : [0, 0, None] [10, 10, None]
10 : [0, 0, None] [11, 11, None]
11 : [0, 0, None] [12, 12, None]
12 : [0, 0, None] [13, 13, None]
14 : [1, 3, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
28 : [5, 5, None] [11, 11, None]
SPEEDS: 1, 2
 state    positions        speeds
0 : [0, 0, None] [1, 2, None]
1 : [0, 0, None] [2, 3, None]
2 : [0, 0, None] [3, 4, None]
3 : [0, 0, None] [4, 5, None]
4 : [0, 0, None] [5, 6, None]
5 : [0, 0, None] [6, 7, None]
6 : [0, 0, None] [7, 7, None]
7 : [0, 0, None] [8, 8, None]
8 : [0, 0, None] [9, 9, None]
9 : [0, 0, None] [10, 10, None]
10 : [0, 0, None] [11, 11, None]
11 : [0, 0, None] [12, 12, None]
12 : [0, 0, None] [13, 13, None]
13 : [0, 0, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
28 : [5, 5, None] [11, 11, None]
SPEEDS: 1, 3
 state    positions        speeds
0 : [0, 0, None] [1, 3, None]
1 : [0, 0, None] [2, 4, None]
2 : [0, 0, None] [3, 5, None]
3 : [0, 0, None] [4, 6, None]
4 : [0, 0, None] [5, 7, None]
5 : [0, 0, None] [6, 8, None]
6 : [0, 0, None] [7, 9, None]
7 : [0, 0, None] [8, 10, None]
8 : [0, 0, None] [9, 11, None]
9 : [0, 0, None] [10, 12, None]
10 : [0, 0, None] [11, 13, None]
11 : [0, 0, None] [12, 13, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
20 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
24 : [3, 4, None] [14, 11, None]
26 : [3, 4, None] [14, 8, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 4
 state    positions        speeds
0 : [0, 0, None] [1, 4, None]
1 : [0, 0, None] [2, 5, None]
2 : [0, 0, None] [3, 6, None]
3 : [0, 0, None] [4, 7, None]
4 : [0, 0, None] [5, 8, None]
5 : [0, 0, None] [6, 9, None]
6 : [0, 0, None] [7, 10, None]
7 : [0, 0, None] [8, 11, None]
8 : [0, 0, None] [9, 12, None]
9 : [0, 0, None] [10, 13, None]
10 : [0, 0, None] [11, 13, None]
11 : [0, 0, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
19 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
24 : [3, 4, None] [14, 11, None]
25 : [3, 4, None] [14, 8, None]
27 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
SPEEDS: 1, 5
 state    positions        speeds
0 : [0, 0, None] [1, 5, None]
1 : [0, 0, None] [2, 6, None]
2 : [0, 0, None] [3, 7, None]
3 : [0, 0, None] [4, 8, None]
4 : [0, 0, None] [5, 9, None]
5 : [0, 0, None] [6, 10, None]
6 : [0, 0, None] [7, 11, None]
7 : [0, 0, None] [8, 12, None]
8 : [0, 0, None] [9, 13, None]
9 : [0, 0, None] [10, 14, None]
10 : [0, 0, None] [11, 14, None]
11 : [0, 3, None] [12, 14, None]
12 : [0, 3, None] [13, 14, None]
14 : [1, 3, None] [14, 14, None]
18 : [1, 4, None] [14, 14, None]
21 : [3, 4, None] [14, 14, None]
23 : [3, 4, None] [14, 11, None]
25 : [3, 4, None] [14, 8, None]
26 : [3, 5, None] [14, 5, None]
28 : [5, 5, None] [11, 5, None]
