0: [0, 0] [5, 5]
0: [0, 0] [5, 6]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 6]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 6]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 7]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 7]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 7]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 7]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [5, 8]
1: [0, 0] [6, 8]
2: [0, 0] [7, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [5, 8]
1: [0, 0] [6, 8]
2: [0, 0] [7, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [5, 8]
1: [0, 0] [6, 8]
2: [0, 0] [7, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [5, 8]
1: [0, 0] [6, 8]
2: [0, 0] [7, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [6, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [6, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [6, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [6, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [6, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [7, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 5]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 6]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 8]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 7]
1: [0, 0] [6, 6]
2: [0, 0] [6, 7]
3: [0, 0] [7, 7]
4: [0, 0] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 7]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

0: [0, 0] [7, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

0: [0, 0] [7, 8]
1: [0, 0] [6, 8]
2: [0, 0] [6, 8]
3: [0, 0] [7, 8]
4: [0, 1] [7, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 3] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 8]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 5] [7, 7]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]

Settings(lanes=2, speed=[5, 5], progress=[0, 0], num_cars=2, max_speed=8, from_dir=['BOTTOM', 'TOP'], to_dir=['TOP', 'RIGHT'], acc_param=1, dec_param=-1, max_time=50, cell_progress=30)
0: [0, 0] [5, 5]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

Settings(lanes=2, speed=[5, 5], progress=[0, 15], num_cars=2, max_speed=8, from_dir=['BOTTOM', 'TOP'], to_dir=['TOP', 'RIGHT'], acc_param=1, dec_param=-1, max_time=50, cell_progress=30)
0: [0, 0] [5, 5]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
4: [0, 0] [8, 8]
5: [4, 1] [8, 8]
6: [4, 1] [8, 8]
7: [4, 1] [8, 8]
8: [4, 1] [8, 8]
9: [2, 3] [8, 8]
10: [2, 3] [8, 8]
11: [2, 3] [8, 8]
12: [2, 4] [8, 7]
13: [5, 4] [7, 8]
14: [5, 4] [7, 8]
15: [5, 4] [7, 8]
16: [5, 5] [7, 7]
17: [5, 5] [7, 7]
18: [5, 5] [7, 7]

Settings(lanes=2, speed=[5, 5], progress=[15, 0], num_cars=2, max_speed=8, from_dir=['BOTTOM', 'TOP'], to_dir=['TOP', 'RIGHT'], acc_param=1, dec_param=-1, max_time=50, cell_progress=30)
0: [0, 0] [5, 5]
1: [0, 0] [6, 6]
2: [0, 0] [7, 7]
3: [0, 0] [7, 8]
